name, clean_100k.ply, real_100k.ply, noiseless.ply, mesh.ply, comment
1000_che,正常,噪音过多 明显孔洞,噪音过多 明显孔洞,明显孔洞,
1050_che,正常,噪音过多 明显孔洞,噪音过多 明显孔洞,明显孔洞,
1051_che,正常,噪音过多 明显孔洞,噪音过多 明显孔洞,明显孔洞,
1052_che,明显孔洞,噪音过多 明显孔洞,噪音过多 明显孔洞,正常,
1053_che,正常,噪音过多,噪音过多,正常,
1055_che,明显孔洞,明显孔洞,噪音过多 明显孔洞,明显孔洞,
1057_che,正常,噪音过多,正常,正常,
1059_che,,噪音过多 明显孔洞,明显孔洞 噪音过多,正常,
1061_che,正常,噪音过多 明显孔洞,噪音过多 明显孔洞,正常,
1063_che,正常,噪音过多 明显孔洞,噪音过多 明显孔洞,正常,
1065_che,分割标注错误 明显孔洞,明显孔洞,明显孔洞,正常,
1067_che,正常,噪音过多 明显孔洞,噪音过多 明显孔洞,正常,
1069_che,明显孔洞,明显孔洞,明显孔洞,正常,
1071_che,噪音过多,噪音过多 明显孔洞,噪音过多 明显孔洞,噪音过多,
1073_che,明显孔洞,明显孔洞,,正常,
1075_che,,噪音过多 明显孔洞,明显孔洞,正常,
1077_fj,正常,正常,正常,正常,
1079_fj,正常,正常,正常,正常,
1081_fj,正常,正常,正常,正常,
1083_fj,正常 分割标注错误,噪音过多,噪音过多,正常,
1085_fj,正常,噪音过多,噪音过多,正常,
1087_th,噪音过多,噪音过多,噪音过多,噪音过多,
1089_th, , , , ,data not complete
1091_th,噪音过多,噪音过多,噪音过多,噪音过多,
787_cd,正常,噪音过多,噪音过多,正常,
789_cd,噪音过多,噪音过多,噪音过多,噪音过多,
791_cd,噪音过多,噪音过多,噪音过多,,
793_cd,正常,噪音过多,噪音过多,正常,
795_cd,噪音过多,噪音过多,噪音过多,噪音过多,
797_cd,噪音过多,噪音过多,噪音过多,噪音过多,
799_cd,噪音过多,噪音过多,噪音过多,噪音过多,
801_cd,噪音过多,噪音过多,噪音过多,噪音过多,
803_cd,正常,噪音过多,噪音过多,正常,
805_cd,噪音过多,噪音过多,噪音过多,噪音过多,
807_che,正常,噪音过多,噪音过多,正常,
809_che,正常,噪音过多 明显孔洞,噪音过多 明显孔洞,正常,
811_che,噪音过多,噪音过多,噪音过多 明显孔洞,噪音过多,
813_bz,噪音过多 明显孔洞 分割标注错误,噪音过多 明显孔洞,噪音过多 明显孔洞,噪音过多 明显孔洞,
815_bz,噪音过多,噪音过多,噪音过多,噪音过多,
